case,source,split,embedded,lsb,capacity_fraction,payload_bytes,start_unit,seed,cover_sha256,image_sha256,chi_score,rs_score,default_category,calibrated_category
coffee_lsb2_rate0.95_offset0,coffee.png,holdout,True,2,0.95,171000,0,2008295,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,b559470fe6f0d65a1257caa0acbe21e5874344de148f1b62d60a0ccf84e94650,0.9822450108467911,0.12164166666666666,High indication,High indication
coffee_lsb2_rate0.95_offset0.03,coffee.png,holdout,True,2,0.95,165870,21600,2008298,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,82c339df93a3bfdc248a21411098ba966ca257d7e13195e6a923b8e14a798174,0.9994297117575316,0.11833333333333333,High indication,High indication
coffee_lsb4_rate0.01_offset0,coffee.png,holdout,True,4,0.01,3600,0,2008401,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,fa1065cb219e32e411811670f6fe6f8a3f44bacf30ad496c910a5845bec44aa1,1.8397452322038396e-178,0.0038916666666666665,Low indication,Low indication
coffee_lsb4_rate0.01_offset0.03,coffee.png,holdout,True,4,0.01,3492,21600,2008404,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,d06bed0c67482dc86aac2e89e3367f3fa455305f0e15996c1aebb06f6a40c1c0,1.023171467356372e-178,0.0038666666666666667,Low indication,Low indication
coffee_lsb4_rate0.5_offset0,coffee.png,holdout,True,4,0.5,180000,0,2008450,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,b2cd7dc796a52d011981b3428d5ada0c128b706492dd0759defb7ceab844560f,1.5904569454255437e-125,0.030633333333333332,Low indication,Low indication
coffee_lsb4_rate0.5_offset0.03,coffee.png,holdout,True,4,0.5,174600,21600,2008453,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,b190226b699f8d38e03f2a1c1de66f01ef0495bdccaf6ac28c518a150ab5050a,4.046603459007363e-123,0.032933333333333335,Low indication,Low indication
coffee_lsb4_rate0.95_offset0,coffee.png,holdout,True,4,0.95,342000,0,2008495,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,1b07fe47891aacdaaf9ec96561aa01dec2e702d51f3a88001c0c7100a9e62265,0.9996229457009775,0.05656666666666667,High indication,Inconclusive
coffee_lsb4_rate0.95_offset0.03,coffee.png,holdout,True,4,0.95,331740,21600,2008498,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,5dbebffdf49e8158f75c70da0d6e815c6f67bf29cf8d782c7573900b0b71d1ef,0.9797325279652571,0.05544166666666667,High indication,Inconclusive
coffee_lsb8_rate0.01_offset0,coffee.png,holdout,True,8,0.01,7200,0,2008801,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,f0f636396f4f26e9787d3430b921e3dfcb9daeb3da613db13fabb29604c78cc9,6.688850923259196e-178,0.003575,Low indication,Low indication
coffee_lsb8_rate0.01_offset0.03,coffee.png,holdout,True,8,0.01,6984,21600,2008804,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,81af85d1424550275b45413e0923917f1702c3ffc4bc4c3f70db60e2529b9b17,8.177074418236316e-179,0.0031583333333333333,Low indication,Low indication
coffee_lsb8_rate0.5_offset0,coffee.png,holdout,True,8,0.5,360000,0,2008850,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,3cacf085e195a46e5bcd463aa17d97702a08f432613f2e46b3c070c0047c7ffb,6.5174707142252345e-99,0.004166666666666667,Low indication,Low indication
coffee_lsb8_rate0.5_offset0.03,coffee.png,holdout,True,8,0.5,349200,21600,2008853,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,7f79e42414ba5aa7f5aea79111fc016d107957741efcab5ee49e9bd8523a1ea5,1.5533312825870085e-104,0.0024,Low indication,Low indication
coffee_lsb8_rate0.95_offset0,coffee.png,holdout,True,8,0.95,684000,0,2008895,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,d8b386e7f3182989f568432f9a58f6d9adc796893cc7a9baa3e56ce28cdc2745,0.3769827326070947,0.0039,Low indication,Low indication
coffee_lsb8_rate0.95_offset0.03,coffee.png,holdout,True,8,0.95,663480,21600,2008898,cc02f8ca188b167c775a7101b5d767d1e71792cf762c33d6fa15a4599b5a8de7,90febbcda4bf42bf95fd6b713809e61ce4ebe28406b5ee0c9b28bfb8cc7fb036,0.11730357020738807,0.007525,Low indication,Low indication
